time,pv_kw,load_kw,shortwave_radiation,cloud_cover,temperature_2m,period,import_price,export_price
2025-03-05 06:00:00,0.118404,1.1043112965311461,23.0,90.8,17.7,off_peak,0.18,0.06
2025-03-05 07:00:00,0.6342336,1.5895315154940564,123.2,79.8,19.1,shoulder,0.3,0.06
2025-03-05 08:00:00,1.2216204,1.6212183045989643,237.3,73.1,21.1,shoulder,0.3,0.06
2025-03-05 09:00:00,1.665378,1.3403288869153551,323.5,72.9,22.1,shoulder,0.3,0.06
2025-03-05 10:00:00,1.948518,0.6354022826872603,378.5,74.5,22.9,shoulder,0.3,0.06
2025-03-05 11:00:00,1.9413108000000003,0.4955721846456388,377.1,80.3,24.5,shoulder,0.3,0.06
2025-03-05 12:00:00,1.9366775999999997,0.1641974040292104,376.2,82.1,25.5,shoulder,0.3,0.06
2025-03-05 13:00:00,2.0097792,0.19259840554056257,390.4,78.4,26.1,shoulder,0.3,0.06
2025-03-05 14:00:00,1.7353908,0.30340554087547467,337.1,80.9,26.4,shoulder,0.3,0.06
2025-03-05 15:00:00,1.2128687999999999,0.5201986247115755,235.6,89.3,26.9,shoulder,0.3,0.06
2025-03-05 16:00:00,1.2978108,0.9094902955536848,252.1,69.4,27.1,peak,0.55,0.06
2025-03-05 17:00:00,0.6712992000000001,1.5294095447831566,130.4,76.7,26.3,peak,0.55,0.06
2025-03-05 18:00:00,0.1317888,2.047444037926717,25.6,86.2,25.8,peak,0.55,0.06
2025-03-05 19:00:00,0.0,2.2612429123914173,0.0,73.6,25.3,peak,0.55,0.06
2025-03-05 20:00:00,0.0,2.0975723448169967,0.0,86.2,23.7,peak,0.55,0.06
2025-03-05 21:00:00,0.0,1.3976477764626785,0.0,77.5,22.5,shoulder,0.3,0.06
2025-03-05 22:00:00,0.0,0.6550384397477543,0.0,76.5,20.4,off_peak,0.18,0.06
2025-03-05 23:00:00,0.0,0.2614885226612232,0.0,78.8,20.3,off_peak,0.18,0.06
2025-03-06 00:00:00,0.0,0.1,0.0,15.6,18.4,off_peak,0.18,0.06
2025-03-06 01:00:00,0.0,0.2526607610012404,0.0,17.4,17.7,off_peak,0.18,0.06
2025-03-06 02:00:00,0.0,0.295164522560908,0.0,36.6,15.9,off_peak,0.18,0.06
2025-03-06 03:00:00,0.0,0.3962011035798285,0.0,36.6,16.6,off_peak,0.18,0.06
2025-03-06 04:00:00,0.0,0.3870912797506458,0.0,59.6,17.2,off_peak,0.18,0.06
2025-03-06 05:00:00,0.0,0.6873023195082205,0.0,72.7,17.1,off_peak,0.18,0.06
2025-03-06 06:00:00,0.1534104,1.2915038400255257,29.8,75.0,18.2,off_peak,0.18,0.06
2025-03-06 07:00:00,0.5652503999999999,1.7226715442640186,109.8,85.0,19.1,shoulder,0.3,0.06
2025-03-06 08:00:00,0.9740015999999999,1.7756184176380367,189.2,85.0,21.4,shoulder,0.3,0.06
2025-03-06 09:00:00,1.7359056,1.1587048731587657,337.2,70.0,21.7,shoulder,0.3,0.06
2025-03-06 10:00:00,2.4911172,0.6049235481043461,483.9,57.8,22.7,shoulder,0.3,0.06
2025-03-06 11:00:00,3.8285676,0.31833086752340456,743.7,28.4,24.6,shoulder,0.3,0.06
2025-03-06 12:00:00,3.8512188,0.13402036059130507,748.1,31.1,25.0,shoulder,0.3,0.06
2025-03-06 13:00:00,3.9057876,0.2761327851141727,758.7,26.3,26.8,shoulder,0.3,0.06
2025-03-06 14:00:00,3.5474868000000006,0.26931408202535223,689.1,25.8,26.2,shoulder,0.3,0.06
2025-03-06 15:00:00,3.3951059999999997,0.43430550977072335,659.5,9.5,27.0,shoulder,0.3,0.06
2025-03-06 16:00:00,2.440152,0.8388861475768252,474.0,12.2,26.3,peak,0.55,0.06
2025-03-06 17:00:00,1.3534091999999998,1.452489543694329,262.9,17.7,26.3,peak,0.55,0.06
2025-03-06 18:00:00,0.33462000000000003,2.1306772591288503,65.0,6.1,25.9,peak,0.55,0.06
2025-03-06 19:00:00,0.0,2.346523479971101,0.0,14.0,24.2,peak,0.55,0.06
2025-03-06 20:00:00,0.0,1.986459725410682,0.0,5.0,23.9,peak,0.55,0.06
2025-03-06 21:00:00,0.0,1.3554818004365468,0.0,13.8,22.7,shoulder,0.3,0.06
2025-03-06 22:00:00,0.0,0.5845576784602756,0.0,5.0,20.6,off_peak,0.18,0.06
2025-03-06 23:00:00,0.0,0.18858911100713105,0.0,5.0,19.6,off_peak,0.18,0.06
2025-03-07 00:00:00,0.0,0.1,0.0,8.4,17.9,off_peak,0.18,0.06
2025-03-07 01:00:00,0.0,0.1,0.0,9.6,18.4,off_peak,0.18,0.06
2025-03-07 02:00:00,0.0,0.2151720408925926,0.0,14.0,18.0,off_peak,0.18,0.06
2025-03-07 03:00:00,0.0,0.1646891336143313,0.0,3.0,17.2,off_peak,0.18,0.06
2025-03-07 04:00:00,0.0,0.27722610584355456,0.0,11.5,17.7,off_peak,0.18,0.06
2025-03-07 05:00:00,0.0,0.769252365359797,0.0,26.9,17.7,off_peak,0.18,0.06
2025-03-07 06:00:00,0.2846844,1.2146563391478624,55.3,18.0,18.1,off_peak,0.18,0.06
2025-03-07 07:00:00,1.3961376,1.8098712468076659,271.2,12.4,19.9,shoulder,0.3,0.06
2025-03-07 08:00:00,2.2568832,1.6523711188017858,438.4,20.5,19.7,shoulder,0.3,0.06
2025-03-07 09:00:00,3.2406659999999996,1.1518598297245228,629.5,14.5,21.5,shoulder,0.3,0.06
2025-03-07 10:00:00,3.7899576000000006,0.5310648413857635,736.2,17.9,23.1,shoulder,0.3,0.06
2025-03-07 11:00:00,4.469493600000001,0.28652609233584525,868.2,10.4,23.3,shoulder,0.3,0.06
2025-03-07 12:00:00,4.2723252,0.36245570696309765,829.9,19.5,25.7,shoulder,0.3,0.06
2025-03-07 13:00:00,4.522517999999999,0.12463530982271734,878.5,8.9,26.5,shoulder,0.3,0.06
2025-03-07 14:00:00,4.1245776,0.3020244624294543,801.2,7.7,26.5,shoulder,0.3,0.06
2025-03-07 15:00:00,3.6360323999999995,0.47768967800532525,706.3,0.0,26.8,shoulder,0.3,0.06
2025-03-07 16:00:00,2.6671788,0.7315906379418018,518.1,0.0,26.3,peak,0.55,0.06
2025-03-07 17:00:00,1.4527656,1.1717311052266095,282.2,7.5,26.2,peak,0.55,0.06
2025-03-07 18:00:00,0.329472,1.9191073677439203,64.0,0.0,25.1,peak,0.55,0.06
2025-03-07 19:00:00,0.0,2.1890176673321107,0.0,7.0,24.7,peak,0.55,0.06
2025-03-07 20:00:00,0.0,1.9864237618990497,0.0,0.0,23.0,peak,0.55,0.06
2025-03-07 21:00:00,0.0,1.3676522614523117,0.0,3.7,22.3,shoulder,0.3,0.06
2025-03-07 22:00:00,0.0,0.9853365080016314,0.0,10.3,19.2,off_peak,0.18,0.06
2025-03-07 23:00:00,0.0,0.5339093471718165,0.0,8.4,18.7,off_peak,0.18,0.06
2025-03-08 00:00:00,0.0,0.1644793615901517,0.0,42.3,18.1,off_peak,0.18,0.06
2025-03-08 01:00:00,0.0,0.2313048949404941,0.0,51.6,18.9,off_peak,0.18,0.06
2025-03-08 02:00:00,0.0,0.2702928473828824,0.0,31.3,16.3,off_peak,0.18,0.06
2025-03-08 03:00:00,0.0,0.43244718764007156,0.0,31.5,17.8,off_peak,0.18,0.06
2025-03-08 04:00:00,0.0,0.48229788767626003,0.0,36.3,17.1,off_peak,0.18,0.06
2025-03-08 05:00:00,0.0,0.5494845355352019,0.0,20.6,18.1,off_peak,0.18,0.06
2025-03-08 06:00:00,0.2362932,0.8850208937409425,45.9,31.0,17.9,off_peak,0.18,0.06
2025-03-08 07:00:00,1.2334608,0.8370763943720997,239.6,25.1,19.5,off_peak,0.18,0.06
2025-03-08 08:00:00,2.2337171999999996,0.7707926069913161,433.9,20.8,20.5,off_peak,0.18,0.06
2025-03-08 09:00:00,3.2288256,0.48684623635180635,627.2,14.3,21.5,off_peak,0.18,0.06
2025-03-08 10:00:00,3.2190444,0.28978249363094266,625.3,34.9,22.8,off_peak,0.18,0.06
2025-03-08 11:00:00,3.8471004,0.1,747.3,27.1,24.3,off_peak,0.18,0.06
2025-03-08 12:00:00,3.8265083999999994,0.22553642012727035,743.3,31.0,25.5,off_peak,0.18,0.06
2025-03-08 13:00:00,3.1202028,0.2169580393672569,606.1,47.2,26.3,off_peak,0.18,0.06
2025-03-08 14:00:00,2.9992248,0.1,582.6,41.6,26.1,off_peak,0.18,0.06
2025-03-08 15:00:00,1.9088784,0.17745771758049625,370.8,63.0,26.9,off_peak,0.18,0.06
2025-03-08 16:00:00,1.4450436,0.6057888650700688,280.7,60.5,26.5,off_peak,0.18,0.06
2025-03-08 17:00:00,1.032174,1.2360129728364793,200.5,42.7,25.2,off_peak,0.18,0.06
2025-03-08 18:00:00,0.20437560000000002,1.983512527102354,39.7,44.8,26.0,off_peak,0.18,0.06
2025-03-08 19:00:00,0.0,2.440472401744881,0.0,34.7,24.4,off_peak,0.18,0.06
2025-03-08 20:00:00,0.0,2.0043600483054793,0.0,44.1,23.3,off_peak,0.18,0.06
2025-03-08 21:00:00,0.0,1.199480854332894,0.0,47.4,22.1,off_peak,0.18,0.06
2025-03-08 22:00:00,0.0,0.43679724724811086,0.0,37.0,20.4,off_peak,0.18,0.06
2025-03-08 23:00:00,0.0,0.3099932023029149,0.0,38.9,18.8,off_peak,0.18,0.06
2025-03-09 00:00:00,0.0,0.11298675512646503,0.0,32.7,18.2,off_peak,0.18,0.06
2025-03-09 01:00:00,0.0,0.13420264429233061,0.0,39.6,17.1,off_peak,0.18,0.06
2025-03-09 02:00:00,0.0,0.12189050409501184,0.0,52.8,17.2,off_peak,0.18,0.06
2025-03-09 03:00:00,0.0,0.17824860059731767,0.0,32.4,16.3,off_peak,0.18,0.06
2025-03-09 04:00:00,0.0,0.3829028723396509,0.0,49.7,17.4,off_peak,0.18,0.06
2025-03-09 05:00:00,0.0,0.4758083288623976,0.0,52.6,16.6,off_peak,0.18,0.06
2025-03-09 06:00:00,0.19150560000000003,0.6535502630135503,37.2,44.1,18.4,off_peak,0.18,0.06
2025-03-09 07:00:00,1.0934352,0.7397141951880483,212.4,36.0,19.2,off_peak,0.18,0.06
2025-03-09 08:00:00,1.6509635999999999,0.5979197379647373,320.7,49.5,20.8,off_peak,0.18,0.06
2025-03-09 09:00:00,2.5477451999999996,0.45324196571838027,494.9,38.9,22.1,off_peak,0.18,0.06
2025-03-09 10:00:00,2.6568828,0.3133036285947233,516.1,51.7,22.9,off_peak,0.18,0.06
2025-03-09 11:00:00,3.0805631999999994,0.458808478120049,598.4,47.9,24.5,off_peak,0.18,0.06
2025-03-09 12:00:00,2.6893152,0.3595084964954048,522.4,61.2,25.3,off_peak,0.18,0.06
2025-03-09 13:00:00,2.797938,0.42853954252594384,543.5,55.8,27.0,off_peak,0.18,0.06
2025-03-09 14:00:00,3.1304988,0.31412427873897003,608.1,37.2,26.3,off_peak,0.18,0.06
2025-03-09 15:00:00,2.1245796,0.2683199729028404,412.7,54.6,26.6,off_peak,0.18,0.06
2025-03-09 16:00:00,1.5335892,0.4977843195693328,297.9,55.5,26.8,off_peak,0.18,0.06
2025-03-09 17:00:00,1.1768328,0.9944083841944951,228.6,28.6,26.5,off_peak,0.18,0.06
2025-03-09 18:00:00,0.1812096,1.8785188936705672,35.2,48.9,24.7,off_peak,0.18,0.06
2025-03-09 19:00:00,0.0,1.9397456876011818,0.0,21.7,23.4,off_peak,0.18,0.06
2025-03-09 20:00:00,0.0,1.8048862636888716,0.0,31.8,23.6,off_peak,0.18,0.06
2025-03-09 21:00:00,0.0,1.1101372750579708,0.0,34.2,21.4,off_peak,0.18,0.06
2025-03-09 22:00:00,0.0,0.7597597728433155,0.0,34.9,20.1,off_peak,0.18,0.06
2025-03-09 23:00:00,0.0,0.4855432055519605,0.0,31.1,19.1,off_peak,0.18,0.06
